ep,tloss,tacc,vloss,vacc
85,0.6429934852,0.7695561064,1.448866309,0.5761086078
86,0.6391178589,0.7718549318,1.457987179,0.5755024655
87,0.635513758,0.774338087,1.468441562,0.5751065342
88,0.628852978,0.7750786771,1.47709229,0.5728166635
89,0.624393732,0.7786095953,1.486191928,0.5730860601
90,0.6234870814,0.7769128184,1.494608885,0.5730187109
91,0.6229404011,0.7766403136,1.504041936,0.5728085
92,0.6212124869,0.7755980452,1.513985934,0.572547267
93,0.6103549346,0.7820533853,1.52268186,0.5732881075
94,0.609924395,0.7808235164,1.531560042,0.5716717282
95,0.6062023105,0.7828419875,1.542969466,0.5731534092
96,0.6035148831,0.7832754048,1.552204235,0.5731534092
97,0.6053859899,0.7822064485,1.560249781,0.5706696546
98,0.6016924876,0.7835145496,1.568680785,0.570594142
99,0.5970092917,0.7844897058,1.576725588,0.569651254
100,0.5953554172,0.7861819039,1.587738347,0.5696594176
